ADM2_EN;X1;X2;X3;X4
Bantaeng;127;67.12;84.22;68.97
Barru;224;127.98;65.62;39.1
Bone;1669;220.25;72.79;5.24
Bulukumba;1350;319.93;65.55;6.48
Enrekang;153;72.86;124.18;57.25
Gowa;2215;287.33;71.24;3.95
Jeneponto;869;236.68;81.47;10.08
Kepulauan Selayar;275;202.03;58.54;31.85
Kota Makassar;10951;704.2;49.88;0.79
Kota Palopo;1207;643.14;62.05;7.25
Kota Parepare;464;315.45;84.48;18.87
Luwu;689;186.25;50.79;12.71
Luwu Timur;367;120.37;78.74;23.86
Luwu Utara;741;232.97;65.04;11.82
Maros;750;209.89;74.93;11.68
Pangkajene Dan Kepulauan;275;80.98;94.18;31.85
Pinrang;948;248.74;68.45;9.24
Sidenreng Rappang;500;165.06;71.4;17.52
Sinjai;380;154.78;75.78;23.05
Soppeng;301;131.13;59.8;29.1
Takalar;1007;337.1;64.94;8.69
Tana Toraja;270;112.72;72.96;32.44
Toraja Utara;346;145.83;70.23;25.31
Wajo;606;149.22;64.68;14.45
